"Service","EC2-Instances($)","S3($)","Redshift($)","EC2-Other($)","DynamoDB($)","Lambda($)","CloudWatch($)","Total costs($)"
"Service total","50.2643726548","7.6883961185","4.90428792","1.1042196061","0.7102468242","0.0004359235","0","64.6719590471"
"2023-06-06","7.140232954","0.1426028104","0.423325035","0.0359003878","0.101546013","0.0000195792","0","7.8436267794"
"2023-06-07","7.5630315092","0.2296073987","0.42936264","0.0342177475","0.0607108862","0.0000339987","0","8.3169641803"
"2023-06-08","6.5868235528","1.9470341583","1.56502521","0.4066531055","0.3476401861","0.0001743041","0","10.8533505168"
"2023-06-09","6.59454","4.4860568911","2.017924965","0.4941060025","0.1795517328","0.0001759031","0","13.7723554945"
"2023-06-10","","0.057056853","","","0","","0","0.057056853"
"2023-06-11","","0.0570568532","","","0","","0","0.0570568532"
"2023-06-12","6.665571344","0.0680102997","0.023099895","0.0795389203","0.0040564753","0","0","6.8402769343"
"2023-06-13","","0.0572117785","","","0.0001975012","0","0","0.0574092797"
"2023-06-14","0.1815773292","0.0638809824","","0.0000610994","0.0005035342","0","0","0.2460229452"
"2023-06-15","8.6974019508","0.194703161","","0.0173682226","0.0091539853","0.0000165452","0","8.9186438649"
"2023-06-16","6.2399940148","0.2695600817","0.445550175","0.0363741205","0.0068865101","0.0000155932","0","6.9983804953"
"2023-06-17","0.2976","0.0578082045","","","0","","0","0.3554082045"
"2023-06-18","0.2976","0.057806646","","","0","","0","0.355406646"
"2023-06-19","0","","","","0","","","0"